nome_completo,sexo,cpf,data_nascimento,email,telefone,endereco_cidade,endereco_estado,curso_matricula_aluno,curso_codigo,curso_data_ingresso,curso_data_prevista_conclusao,curso_data_conclusao,curso_situacao_matricula
Emanuella Campos,f,273.594.608-83,2000-08-21,almeidamateus@example.com,+55 42 99928-8534,Aparecida dos Dourados,Rio Grande do Norte,854558,1,2024-07-25,2026-11-18,2026-11-18,ativo
André da Mata,m,042.538.791-79,2003-12-07,saisabella@example.com,+55 36 98595-2155,Leão do Campo,Tocantins,882548,2,2024-06-30,2026-09-25,2026-09-25,ativo
Mariane Vasconcelos,f,578.296.304-29,1983-07-15,haragao@example.com,+55 71 95135-1145,Pimenta,Piauí,409781,1,2024-10-04,2026-02-28,2026-02-28,ativo
João Lucas Rodrigues,m,174.096.823-96,1989-10-07,viniciusramos@example.net,+55 43 91453-5895,Cardoso da Prata,Roraima,690921,3,2024-08-06,2025-05-10,2025-05-10,ativo
Thomas Martins,m,726.805.193-02,2002-07-07,maria-julia45@example.org,+55 83 99190-9188,Rios do Oeste,Sergipe,856926,3,2023-02-23,2025-07-20,2025-07-20,ativo
Yago Silveira,m,183.429.650-15,1999-05-17,fcaldeira@example.com,+55 46 99553-2365,Siqueira do Amparo,Amapá,781140,1,2024-04-26,2025-01-18,2025-01-18,ativo
Théo Ramos,m,096.475.328-65,2002-12-23,vitor67@example.com,+55 95 95529-8540,Siqueira da Serra,Rondônia,495793,4,2023-01-12,2026-03-07,2026-03-07,ativo
Davi Miguel Mendes,m,426.718.390-22,1981-01-12,maria-eduarda59@example.com,+55 59 98819-5741,Rocha de Macedo,Paraíba,335437,1,2023-03-14,2025-01-17,2025-01-17,ativo
Dra. Mirella da Conceição,f,329.506.178-59,2005-07-24,cardosoayla@example.net,+55 92 92674-3687,Moura,Pernambuco,817898,5,2023-06-21,2025-06-06,2025-06-06,cancelado
Davi Lucca Santos,m,045.189.723-41,1994-11-16,da-motaleonardo@example.net,+55 35 91705-9331,Almeida do Galho,Tocantins,244663,2,2024-03-20,2025-03-06,2025-03-06,ativo
Ian Fernandes,m,059.243.617-99,2002-01-06,lara44@example.net,+55 30 92556-7410,Moreira,Paraíba,396831,2,2023-04-05,2026-04-08,2026-04-08,ativo
Sra. Maria Sophia Siqueira,f,164.529.708-01,1994-06-13,elisa91@example.com,+55 36 96610-2022,Machado,Santa Catarina,225151,5,2024-03-17,2025-06-05,2025-06-05,ativo
Oliver da Cunha,m,895.473.261-55,2004-03-30,costeladavi-miguel@example.net,+55 13 91426-8567,Macedo de Minas,Tocantins,215857,1,2024-02-15,2025-06-16,2025-06-16,trancado
Luan das Neves,m,315.896.472-46,1999-05-04,joaoguerra@example.org,+55 10 92139-5214,da Mota,Ceará,146871,5,2023-10-27,2025-11-02,2025-11-02,ativo
Dr. Bryan Albuquerque,m,257.639.810-30,1982-01-21,cardosotheo@example.net,+55 38 98094-4009,da Rocha do Campo,Sergipe,314528,5,2023-10-18,2026-01-28,2026-01-28,ativo
Sr. Cauê Barros,m,058.396.274-29,1995-04-12,luara06@example.net,+55 55 95038-5676,Costa do Oeste,Acre,135253,4,2024-09-25,2026-08-31,2026-08-31,ativo
Lara Campos,f,904.756.123-61,1997-08-09,mnunes@example.com,+55 59 97318-9029,Freitas de Barros,Ceará,694803,3,2023-07-02,2025-09-11,2025-09-11,ativo
Maria Laura Novaes,f,234.685.971-00,1998-01-23,calebelima@example.com,+55 38 97438-7102,Cirino,Rio Grande do Norte,853888,5,2024-06-27,2026-07-23,2026-07-23,trancado
Sr. Lucas Pastor,m,910.586.273-68,1985-01-12,erick88@example.org,+55 84 93920-5426,da Costa do Amparo,Goiás,536479,3,2023-10-08,2026-04-10,2026-04-10,ativo
Brenda Barbosa,f,184.795.632-73,1982-01-10,maya81@example.net,+55 54 99623-4502,Guerra,Rio Grande do Sul,247619,3,2023-07-18,2026-05-29,2026-05-29,ativo
Eloah Guerra,f,316.984.075-48,1994-01-17,caue53@example.org,+55 11 92540-4869,Moreira de Minas,Acre,582634,5,2023-03-07,2025-06-08,2025-06-08,ativo
Davi Lucas Albuquerque,m,795.401.862-85,1981-02-07,benicioda-cunha@example.net,+55 30 91140-8888,da Costa de Vieira,Ceará,285508,3,2023-09-02,2025-02-19,2025-02-19,trancado
Asafe Vasconcelos,m,890.623.754-56,1989-12-23,gnogueira@example.net,+55 19 97889-3273,Santos,Pará,163564,4,2024-03-06,2025-12-23,2025-12-23,ativo
Theodoro Pastor,m,645.180.392-89,1988-09-24,giovannaabreu@example.com,+55 53 93101-4118,Guerra,Ceará,739182,4,2024-01-07,2026-09-06,2026-09-06,ativo
Caio Viana,m,516.702.894-94,1986-04-19,pmonteiro@example.org,+55 51 92928-6036,Sampaio,São Paulo,129721,3,2024-02-09,2026-08-20,2026-08-20,ativo
Yan Azevedo,m,134.879.602-22,1981-06-19,cassianoana-livia@example.com,+55 33 99558-6681,da Conceição,Goiás,196757,4,2023-06-08,2026-08-25,2026-08-25,ativo
Laura Silveira,f,170.624.598-01,1980-04-15,mirella19@example.org,+55 38 96201-1328,Castro,Bahia,813277,4,2023-08-29,2026-07-21,2026-07-21,ativo
Yasmin Sampaio,f,895.643.710-66,1985-05-25,leticiamacedo@example.net,+55 38 91020-4255,Lopes do Sul,Piauí,320106,4,2024-06-28,2026-09-27,2026-09-27,ativo
Maria Flor Moreira,f,603.489.715-75,1994-10-20,martinsgustavo@example.org,+55 55 93645-6692,Costa,Amazonas,515300,4,2023-03-14,2025-02-01,2025-02-01,ativo
Srta. Isabela Lopes,f,530.714.862-35,1982-03-07,vinicius34@example.net,+55 44 94542-9973,Souza de das Neves,Maranhão,200333,4,2024-01-20,2025-06-23,2025-06-23,cancelado
Ana Júlia Novaes,f,956.341.780-10,1998-04-26,usa@example.org,+55 57 95033-4060,Ferreira do Oeste,Ceará,856969,2,2024-06-28,2026-02-22,2026-02-22,ativo
Vitor Hugo Cavalcante,m,817.496.025-20,1983-04-23,rcamara@example.net,+55 89 94849-3045,Moreira dos Dourados,Amapá,195784,2,2024-02-13,2025-07-28,2025-07-28,ativo
Joana Macedo,f,507.683.241-90,2001-01-06,amelo@example.com,+55 67 98622-2060,Marques,Amapá,341285,3,2023-08-17,2025-11-21,2025-11-21,ativo
Srta. Ana Liz Nunes,f,950.742.836-47,1999-09-28,cardosolivia@example.net,+55 12 92751-8528,da Rocha,Rio Grande do Norte,671172,3,2024-03-20,2026-03-25,2026-03-25,ativo
Laís Vieira,f,590.348.261-98,1989-03-26,caldeiraravy@example.org,+55 51 95669-6848,Rios de da Cunha,Rio Grande do Sul,389235,4,2023-11-13,2026-12-22,2026-12-22,ativo
Isaque da Conceição,m,368.129.570-03,1998-05-26,ryan74@example.org,+55 15 95014-7392,Barros Grande,Maranhão,862281,5,2023-01-07,2026-03-08,2026-03-08,ativo
Paulo da Rosa,m,640.259.173-43,2002-06-27,carolina69@example.org,+55 14 91805-1994,Fogaça,Acre,245023,2,2023-11-03,2026-11-30,2026-11-30,ativo
Dr. Carlos Eduardo Siqueira,m,192.738.056-12,1998-10-29,sarah69@example.com,+55 65 98726-3091,Pinto de Minas,Rio Grande do Sul,757368,2,2024-04-08,2025-12-08,2025-12-08,ativo
Isaque Macedo,m,103.842.657-07,2001-11-21,vargaspedro-lucas@example.com,+55 33 92541-2327,da Cunha,Amapá,742619,5,2023-03-10,2026-11-17,2026-11-17,ativo
Natália Montenegro,f,173.586.420-07,1982-05-04,thales55@example.com,+55 42 98789-3680,da Mata,Rio Grande do Norte,550161,2,2024-08-15,2026-09-27,2026-09-27,ativo
Benjamin Gonçalves,m,370.896.254-00,1995-07-20,bernardo43@example.com,+55 22 94014-7391,Azevedo da Serra,Amapá,734126,4,2023-03-27,2026-12-01,2026-12-01,cancelado
Sophie Jesus,f,517.290.438-79,2001-08-18,aylapimenta@example.net,+55 54 98280-8332,Moreira,Rondônia,828612,3,2024-05-09,2025-06-21,2025-06-21,ativo
Elisa da Mata,f,986.574.320-56,1981-09-11,lcastro@example.org,+55 26 96263-4865,Costela do Norte,Rio de Janeiro,847926,3,2024-03-10,2024-12-15,2024-12-15,ativo
Sr. Pedro Brito,m,162.580.349-42,1995-06-11,livia80@example.com,+55 48 97634-1220,Pereira,Rio de Janeiro,912420,1,2023-02-03,2026-12-06,2026-12-06,ativo
Sara Porto,f,936.475.820-00,1986-03-10,da-cunhamaria-julia@example.net,+55 27 93684-5649,Costa,Distrito Federal,906343,4,2024-05-02,2025-09-29,2025-09-29,ativo
Catarina Cavalcanti,f,124.970.638-69,2000-08-02,oliveiralunna@example.net,+55 44 95810-5434,Peixoto de Ribeiro,Mato Grosso,395279,1,2024-02-13,2025-04-21,2025-04-21,ativo
Maya Câmara,f,670.249.513-70,2003-11-22,aylla17@example.org,+55 86 93121-3400,Novais,Rondônia,522484,1,2024-07-31,2025-06-30,2025-06-30,trancado
Rael Jesus,m,125.760.893-21,1986-12-26,ana-beatriz44@example.com,+55 82 98675-8854,Lima Grande,Mato Grosso do Sul,952339,4,2023-11-01,2025-02-24,2025-02-24,ativo
Ana Lívia Brito,f,984.067.521-49,1981-12-06,carolinada-luz@example.com,+55 13 95413-4984,Duarte das Flores,Distrito Federal,785741,5,2024-09-29,2025-07-02,2025-07-02,cancelado
Anthony Montenegro,m,203.514.869-33,2004-09-23,luiz-henrique14@example.com,+55 44 99724-7624,Dias da Serra,Tocantins,112864,1,2023-09-24,2025-05-08,2025-05-08,ativo
Rafaela Rodrigues,f,502.718.963-02,1986-01-02,benjamin99@example.com,+55 64 93340-3403,Lopes de Minas,Amapá,421501,4,2024-03-09,2026-05-21,2026-05-21,trancado
Théo Novais,m,196.325.478-37,1988-12-10,heitor11@example.com,+55 13 96601-5172,Rocha,São Paulo,519099,5,2023-04-28,2026-02-02,2026-02-02,trancado
Joana Souza,f,568.712.409-85,2001-12-26,spires@example.org,+55 66 95294-5840,Fonseca,Alagoas,340117,2,2024-09-25,2026-02-17,2026-02-17,ativo
André Cassiano,m,304.852.917-97,1982-09-18,qsouza@example.org,+55 59 95284-3900,da Cunha de Nogueira,Rio de Janeiro,770719,5,2024-01-24,2025-05-22,2025-05-22,ativo
Henry Gabriel Peixoto,m,364.025.871-17,2002-08-05,goncalvesliam@example.net,+55 68 96219-9641,Costela de Peixoto,Distrito Federal,260684,5,2024-07-30,2026-12-26,2026-12-26,ativo
Isaque Garcia,m,371.298.560-68,2000-12-31,felipevargas@example.org,+55 52 99706-9563,Marques de Pires,Rio de Janeiro,726364,4,2024-08-11,2026-09-26,2026-09-26,ativo
Otto Aragão,m,509.618.473-01,1985-05-24,ycavalcanti@example.org,+55 25 94335-2286,Nunes das Flores,Roraima,185163,1,2024-08-22,2026-02-12,2026-02-12,ativo
Guilherme Brito,m,492.681.073-50,1999-01-24,maria-clarateixeira@example.net,+55 42 99504-7075,Correia,Pernambuco,688072,2,2024-06-23,2026-11-26,2026-11-26,ativo
Sophia Dias,f,516.320.987-68,1983-08-07,maria-ceciliafonseca@example.net,+55 52 94831-6008,Pinto,São Paulo,788237,5,2024-06-26,2025-03-12,2025-03-12,ativo
Sr. Henry Gabriel Campos,m,438.067.951-93,1985-09-24,theodorocardoso@example.net,+55 42 97040-2629,Aragão Grande,São Paulo,186175,4,2023-12-03,2026-03-08,2026-03-08,ativo
Sr. Mateus Garcia,m,942.035.768-65,1995-04-18,almeidastephany@example.com,+55 87 98512-2363,Garcia,Amazonas,807768,3,2024-03-23,2025-07-05,2025-07-05,ativo
Gael Sá,m,178.506.429-02,2004-08-22,luanavasconcelos@example.net,+55 40 94475-9521,Fonseca de Monteiro,Rondônia,811346,2,2023-07-12,2026-08-18,2026-08-18,ativo
João Miguel Moreira,m,416.835.207-26,1997-04-23,clarice32@example.com,+55 50 97450-1302,Fernandes Grande,Bahia,860977,2,2024-10-03,2026-09-10,2026-09-10,ativo
Dr. Luiz Otávio Melo,m,430.195.627-16,2003-10-15,garcialeandro@example.com,+55 22 97731-1085,Freitas de Pereira,Bahia,490297,3,2024-07-26,2026-08-14,2026-08-14,ativo
Danilo Santos,m,745.213.896-19,1997-02-12,gabriel11@example.org,+55 82 94121-7545,Pires,Mato Grosso,697821,3,2024-02-16,2025-09-10,2025-09-10,ativo
Maria Cecília Caldeira,f,384.795.021-50,1993-11-06,arthur-miguel92@example.net,+55 39 93140-2275,Siqueira de Dias,Roraima,896276,5,2023-12-20,2026-07-08,2026-07-08,ativo
Bernardo Cavalcanti,m,815.790.346-75,1990-02-15,aylla91@example.com,+55 83 91878-6892,Pereira de Duarte,São Paulo,852338,1,2024-05-29,2025-01-23,2025-01-23,ativo
Josué Albuquerque,m,185.629.437-46,1984-03-02,lopesmaria-flor@example.org,+55 56 98370-8702,Câmara,Espírito Santo,894315,1,2024-04-03,2026-02-03,2026-02-03,ativo
Raul Garcia,m,918.502.367-12,1999-11-01,costaemilly@example.org,+55 93 92523-4316,Moraes de Minas,Minas Gerais,636278,3,2024-07-11,2025-02-26,2025-02-26,ativo
Sr. Henry da Cunha,m,190.547.382-60,1993-08-11,limaluiz-gustavo@example.net,+55 22 92904-7353,Pires da Praia,Sergipe,415295,2,2023-10-20,2026-03-25,2026-03-25,ativo
Eduardo Rodrigues,m,032.487.691-22,2005-02-28,umendonca@example.net,+55 93 95724-1473,Cirino de Farias,Rio Grande do Sul,292553,1,2023-02-26,2026-05-10,2026-05-10,ativo
Maria Luísa da Luz,f,017.328.564-35,1990-03-23,ngoncalves@example.net,+55 72 91412-3218,Castro do Oeste,Pernambuco,495416,1,2024-07-17,2026-10-16,2026-10-16,trancado
Evelyn Guerra,f,729.314.680-96,1998-02-15,luiz-fernando46@example.org,+55 68 94740-5669,Caldeira do Campo,Rio Grande do Sul,192095,3,2024-02-24,2025-02-10,2025-02-10,ativo
Nicolas Fonseca,m,502.174.689-85,1991-07-28,larissa10@example.org,+55 51 98576-8561,Cunha do Galho,Mato Grosso,948393,5,2023-04-28,2024-12-06,2024-12-06,ativo
Dr. Enrico Viana,m,852.407.163-07,1994-07-24,antonio02@example.com,+55 69 95153-3506,Rios do Norte,Maranhão,443855,4,2024-08-17,2026-07-01,2026-07-01,ativo
Matteo Albuquerque,m,526.941.780-49,1986-10-20,fsales@example.org,+55 61 95211-1627,Freitas de Rocha,Rio de Janeiro,791747,3,2023-03-30,2025-07-07,2025-07-07,ativo
Otávio Fogaça,m,937.408.521-60,1983-04-15,rodriguesyan@example.org,+55 71 96430-9971,Garcia da Mata,Pernambuco,526706,2,2023-08-10,2026-01-24,2026-01-24,ativo
Benicio Rios,m,150.867.423-07,2000-03-31,kevin31@example.org,+55 56 93541-1273,Alves,Rondônia,932994,5,2024-04-16,2025-09-12,2025-09-12,ativo
Dra. Isis Marques,f,982.701.543-50,2001-02-04,siqueiraantonio@example.net,+55 49 99059-3490,Pacheco,Piauí,448517,1,2024-06-12,2025-08-08,2025-08-08,ativo
Alice Cassiano,f,032.954.718-60,1983-06-08,danilovieira@example.org,+55 61 91023-1213,Costela do Campo,Goiás,925294,1,2023-08-20,2026-08-30,2026-08-30,ativo
Srta. Heloísa Mendonça,f,710.345.698-48,2003-12-10,peixotomathias@example.com,+55 59 91108-5672,Duarte,Paraíba,368505,5,2023-10-15,2026-04-03,2026-04-03,ativo
Srta. Aurora Câmara,f,728.946.031-69,2003-02-16,qbarros@example.org,+55 89 99527-9062,da Paz,Mato Grosso,884082,3,2023-03-29,2026-05-17,2026-05-17,trancado
Eloá Lima,f,862.315.704-44,1996-03-05,kevinmarques@example.com,+55 92 96612-9963,da Rosa de Nogueira,Santa Catarina,414619,3,2024-07-05,2025-09-20,2025-09-20,ativo
Thales Fogaça,m,536.194.782-28,2002-10-15,yasmin15@example.net,+55 35 98627-2873,Silva do Amparo,Goiás,962788,5,2024-08-25,2025-06-05,2025-06-05,ativo
Asafe Oliveira,m,905.742.368-56,1993-01-29,zda-costa@example.com,+55 74 99440-3994,Santos,Pará,284886,5,2023-06-29,2025-07-11,2025-07-11,ativo
Srta. Cecília Caldeira,f,412.078.963-22,1991-03-29,antonio89@example.net,+55 58 97907-8322,Fernandes,Bahia,682825,3,2024-05-24,2026-08-03,2026-08-03,ativo
Maysa Almeida,f,380.971.546-84,1990-02-21,ujesus@example.com,+55 22 94745-6848,Dias,Minas Gerais,373010,5,2024-02-06,2026-10-11,2026-10-11,ativo
Lara da Rosa,f,036.142.897-96,1981-02-01,borgesrafael@example.org,+55 26 99244-2174,Almeida,São Paulo,763885,5,2024-02-02,2025-11-26,2025-11-26,ativo
Eduarda Cavalcante,f,367.429.801-50,1992-04-07,anthonyporto@example.org,+55 38 98285-9209,Borges de Goiás,Rio de Janeiro,289624,5,2023-05-12,2025-11-30,2025-11-30,ativo
Otávio Novaes,m,173.659.024-34,1991-09-16,bryanmoura@example.com,+55 69 96999-9453,da Luz de Minas,Piauí,389234,3,2023-10-09,2025-08-10,2025-08-10,ativo
Dr. Enrico Moura,m,728.365.901-30,2004-11-12,lais55@example.org,+55 34 96899-8678,Costa do Amparo,Alagoas,769544,5,2023-06-30,2025-06-12,2025-06-12,ativo
Letícia Castro,f,748.520.693-10,1980-11-05,mirellacampos@example.org,+55 32 94956-3779,Machado,Rio de Janeiro,998518,1,2023-10-20,2024-12-17,2024-12-17,ativo
Maitê Ribeiro,f,539.481.276-46,1981-10-01,maria-luisa41@example.com,+55 40 93286-6672,Nascimento,Mato Grosso,179309,5,2024-05-31,2026-05-13,2026-05-13,ativo
Sra. Ana Julia Santos,f,074.528.391-88,2000-11-03,zcavalcanti@example.org,+55 92 97578-2477,Montenegro do Norte,Minas Gerais,479424,5,2024-04-07,2026-02-12,2026-02-12,cancelado
Eduardo Porto,m,978.401.563-39,1988-06-09,diegogarcia@example.org,+55 41 95922-9356,da Mota,Goiás,983910,2,2024-02-06,2025-06-22,2025-06-22,ativo
Ágatha Teixeira,f,348.125.607-80,1991-06-25,camposantonio@example.org,+55 40 92415-2399,Pires,Minas Gerais,705491,5,2023-11-30,2026-11-13,2026-11-13,ativo
Rafaela Brito,f,164.258.973-09,2000-01-27,da-luznoah@example.org,+55 75 93006-5491,Souza da Prata,Paraíba,325713,5,2023-05-26,2025-09-09,2025-09-09,ativo
Pietra Novais,f,891.365.704-00,1990-09-19,maria-sophiacunha@example.com,+55 76 94930-8300,Lima do Campo,Santa Catarina,522190,2,2024-09-26,2026-08-13,2026-08-13,ativo
Benicio Casa Grande,m,361.807.529-40,1991-06-06,arthur-gabriel40@example.com,+55 92 93088-6963,Aparecida,Acre,168492,2,2023-04-25,2025-04-22,2025-04-22,cancelado
Fernanda Vieira,f,324.518.760-26,1996-10-13,da-mataisabelly@example.net,+55 75 99463-6609,Teixeira Paulista,Mato Grosso,525493,2,2023-08-08,2025-01-10,2025-01-10,ativo
Sra. Caroline Guerra,f,213.478.950-60,1999-04-24,juliana24@example.org,+55 53 95896-9541,Cirino,Distrito Federal,297326,1,2024-10-03,2024-12-19,2024-12-19,ativo
Breno da Costa,m,935.827.064-00,1985-05-16,ejesus@example.com,+55 75 93908-8368,Cavalcante da Prata,Distrito Federal,560753,5,2023-03-07,2025-04-15,2025-04-15,ativo
Sra. Ágatha Vieira,f,635.894.720-65,2002-02-19,borgescamila@example.net,+55 55 93066-7543,da Costa da Serra,Rio Grande do Norte,811052,2,2024-07-28,2026-09-08,2026-09-08,ativo
Mirella Duarte,f,481.095.763-20,1985-12-09,mirellasales@example.net,+55 78 98366-5390,Abreu Verde,Distrito Federal,648005,4,2024-04-15,2026-10-22,2026-10-22,ativo
Maria Isis Gomes,f,190.628.354-06,1989-06-27,aparecidaaugusto@example.com,+55 26 95772-3716,das Neves de Carvalho,Tocantins,779349,2,2023-06-04,2025-05-16,2025-05-16,ativo
Ravi Moura,m,450.632.917-16,1994-11-09,novaesgael@example.net,+55 88 94931-2187,Cassiano de Moreira,Paraíba,270865,1,2024-07-21,2025-03-16,2025-03-16,ativo
Dr. Vicente Garcia,m,580.329.641-42,1982-04-21,raelazevedo@example.com,+55 72 91633-7232,Castro,Paraíba,323255,5,2024-04-04,2026-07-16,2026-07-16,ativo
Aurora Albuquerque,f,287.109.643-04,1997-05-05,fogacamateus@example.com,+55 80 94485-7603,Sousa da Serra,Rondônia,395623,4,2023-06-07,2025-01-30,2025-01-30,ativo
Ana Castro,f,754.298.361-09,1998-04-28,gvargas@example.com,+55 57 92482-5427,Moura,Amazonas,398962,3,2023-07-16,2024-12-15,2024-12-15,ativo
Maria Júlia Vargas,f,290.163.457-52,1984-07-03,fpeixoto@example.org,+55 52 96212-7441,Novaes,Acre,911461,5,2024-08-08,2025-01-17,2025-01-17,ativo
Sra. Maria Liz Teixeira,f,519.204.376-06,1985-02-27,bfreitas@example.net,+55 14 95597-8442,Sales de Castro,Mato Grosso do Sul,784723,2,2024-02-15,2026-03-17,2026-03-17,cancelado
Sabrina Andrade,f,529.734.018-79,1985-12-17,cauapacheco@example.net,+55 67 99495-7058,Araújo do Galho,Paraná,755129,3,2023-12-22,2026-12-04,2026-12-04,ativo
Lorenzo Nascimento,m,687.390.425-29,2005-05-09,da-rosayan@example.net,+55 54 98359-1462,Barros,Distrito Federal,424750,5,2023-09-09,2026-04-25,2026-04-25,ativo
Dra. Luara da Cruz,f,864.953.270-56,2000-07-07,catarinapeixoto@example.com,+55 18 91368-9409,Sampaio,Pernambuco,256896,1,2024-01-02,2026-03-01,2026-03-01,ativo
Ana Beatriz Souza,f,631.079.852-95,1985-05-10,xaparecida@example.net,+55 43 91796-9264,Sales Verde,Amazonas,477228,1,2024-07-31,2025-06-25,2025-06-25,ativo
Benjamin Alves,m,398.651.702-21,1995-09-19,silvarael@example.com,+55 95 91939-2061,Freitas de Borges,Sergipe,419996,5,2024-09-25,2024-12-29,2024-12-29,ativo
Sr. Luiz Henrique Azevedo,m,039.465.782-92,1992-12-31,riosbianca@example.com,+55 40 94991-6170,Caldeira do Norte,Amapá,144430,2,2024-02-27,2025-08-19,2025-08-19,ativo
Dr. Theo Rodrigues,m,093.625.148-42,1992-02-09,dalves@example.org,+55 64 92334-1716,Cirino de Vasconcelos,Sergipe,813371,4,2023-11-04,2025-01-15,2025-01-15,ativo
Hellena Melo,f,517.620.934-99,1997-09-28,riosheloisa@example.net,+55 60 91280-8011,Pastor dos Dourados,Acre,703954,2,2023-06-07,2026-07-29,2026-07-29,ativo
Emanuelly da Luz,f,126.745.098-30,1997-01-14,bruna87@example.org,+55 95 91342-9831,Ribeiro,Acre,242469,5,2024-02-11,2025-10-18,2025-10-18,ativo
Diego Correia,m,620.581.374-26,1980-06-06,rochaisabel@example.com,+55 65 98022-8208,Barbosa de Montenegro,Goiás,712173,4,2023-05-24,2025-12-06,2025-12-06,ativo
Gustavo Pastor,m,821.470.935-05,1980-03-10,tmarques@example.com,+55 27 91345-2179,Correia,Minas Gerais,787892,3,2024-04-02,2026-03-27,2026-03-27,ativo
Renan Cirino,m,450.721.689-30,1984-12-07,vporto@example.net,+55 46 96612-3389,Ribeiro,Paraná,785480,2,2024-08-14,2025-08-16,2025-08-16,ativo
Aurora da Paz,f,305.487.269-65,1995-01-29,dalmeida@example.com,+55 77 93039-4700,das Neves,Piauí,433319,3,2023-10-07,2026-07-02,2026-07-02,ativo
